,link,data,pag,materia_id,jornal,tipo,resumo,ano,mes
765,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMw==&j=MTI=&p=Mg==&i=MjEzNjQ1Mg==&s=MmI5ZWYyMzc1MmY2ZWMzYWQwNGMwZmQwOTYxMmJhOTk=&tb=cedae,03/10/2018,2,2136452,12,I - Portaria,"de atuação operacio nal/investimentos da CEDAE em esgotamento sanitário na Bacia de Jacarepaguá a partir de 2018.

  Art. 2º - Esta Portaria entrará em vigor",2018,10
766,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMw==&j=MTI=&p=MTY=&i=MjEzNjQwNg==&s=NjU5YzI0YTUxNTMzNTNmODQ4YjU1YTQ1YTRjMjUzMDk=&tb=cedae,03/10/2018,16,2136406,12,I - Aviso,/003/100139/2018. O objetivo é selecionar ações para análise da viabilidade técnica/financeira e estudo em conjunto com a CEDAE da possibilidade de inclusão no orçamento,2018,10
767,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMw==&j=MTI=&p=MjI=&i=MjEzNjQ3Mg==&s=OTUxNzRlZDJjMTBmZWI5NGQ5M2Q4ZDg0ZGUzZjAzMzA=&tb=cedae,03/10/2018,22,2136472,12,I - Extrato de Termo Aditivo,", NO PLANO DE BENEFÍCIOS PRECE I.

  PARTES: A PRECE - PREVIDÊNCIA COMPLEMENTAR e a COMPA NHIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE.

  OBJETO: Promover nova",2018,10
768,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMw==&j=MTI=&p=MjI=&i=MjEzNjQ3Mw==&s=Yzk3YzQ4YmE4YmU2YzZjNGNhNTE0NDBiY2YxNjQ1OWE=&tb=cedae,03/10/2018,22,2136473,12,I - Extrato de Termo Aditivo,", NO PLANO DE BENEFÍCIOS PRECE II.

  PARTES: A PRECE - PREVIDÊNCIA COMPLEMENTAR e a COMPA NHIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE.

  OBJETO: Promover nova",2018,10
769,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMg==&j=MTI=&p=NQ==&i=MjEzNjA4Mg==&s=MTAwMzc5M2E5OWUyNGM4NTcxZGEwM2Q1NmJlNjMxMDE=&tb=cedae,02/10/2018,5,2136082,12,I - Portaria,"da construção civil do Es tado do Rio de Janeiro, como por exemplo, saneamento (CEDAE) e pavimentação (DER/RJ),

  RESOLV E:

  Art. 1 º  - Extinguir os índices",2018,10
770,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMg==&j=MTI=&p=MjM=&i=MjEzNjA5NQ==&s=Y2UyM2NlYWI1MmY4OGNmZTQwYmYxZTlmMTNlMGQwOTk=&tb=cedae,02/10/2018,23,2136095,12,I - Ato,"Gestor de Bens Móveis da Companhia Estadual de Águas e Es gotos - CEDAE, conforme recomendação da Auditoria Geral do Es tado - AGE-RJ, para o exercício",2018,10
771,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMg==&j=MTI=&p=MjY=&i=MjEzNjI0OQ==&s=MDM0YTgxNjc4NmUzZTRjZWQxZTk4ODZjNWYzNzc2YzU=&tb=cedae,02/10/2018,26,2136249,12,I - Aviso,-12/003/100139/2018. O objetivo é selecionar ações para análise da viabilidade técnica/financeira e estudo em conjunto com a CEDAE da possibilidade,2018,10
772,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMg==&j=MTI=&p=MzA=&i=MjEzNjI3Mg==&s=OTg1MzY2NzRjYjRkYWFmMTc4OTYyY2VlNmIwODk0OTA=&tb=cedae,02/10/2018,30,2136272,12,I - Extrato de Termo,"- SEA, neste ato designada DOADORA e a Companhia Estadual de Águas e Esgotos do Rio de Janeiro - CEDAE, denominada DONA TÁRIA. OBJETO: O presente Termo",2018,10
773,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMg==&j=MTI=&p=MzE=&i=MjEzNjE0Nw==&s=YjJlZWE1OGY3NzNkNGRlMzIyZGU4MDg5OTU0MWNkMDU=&tb=cedae,02/10/2018,31,2136147,12,I - Extrato de Termo Aditivo,"CEDAE nº 076/2018 (DT).

  PARTES: A COMPANHIA ESTADUAL DE ÁGUAS E ESGOTOS - CE DAE e as empresas reunidas através do CONSÓRCIO CONEN/EN CIBRA 1",2018,10
774,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMg==&j=MTI=&p=MzE=&i=MjEzNjE0OA==&s=NzNkMzQwNWE3OTliNDYzZGVjMmI0NzViODEzMmIyMjQ=&tb=cedae,02/10/2018,31,2136148,12,I - Extrato de Termo Aditivo,"CEDAE nº 061/2013 (DM).

  PARTES: A COMPANHIA ESTADUAL DE ÁGUAS E ESGOTOS - CE DAE e a DIMENSIONAL ENGENHARIA LTDA.

  OBJETO: Prorrogação do prazo",2018,10
